Trial,Enclosure,Treatment,Snail ,Stage ,Date,Time,x_cm,y_cm,xUTM,yUTM,Temperature,Precipitation,Notes
1,3A,4,P13a,Acc,2019-09-26,18:30,,,,,15,yes,
1,3A,4,P13a,Acc,2019-09-26,19:00,11.35,20.58,370205,5268513,14,yes,
1,3A,4,P13a,Acc,2019-09-26,19:30,42.18,7.77,370236,5268500,13,yes,
1,3A,4,P13a,Acc,2019-09-26,20:00,65,16.82,370259,5268509,13,yes,
1,3A,4,P13a,Acc,2019-09-26,20:30,,,,,12,yes,out of frame
1,3A,4,P13a,Acc,2019-09-26,21:00,,,,,12,yes,out of frame
1,3A,4,P13a,Acc,2019-09-26,21:30,,,,,12,yes,out of frame
1,3A,4,P13a,Acc,2019-09-26,22:00,,,,,12,yes,out of frame
1,3A,4,P13a,Acc,2019-09-26,22:30,,,,,12,yes,out of frame
1,3A,4,P13a,Acc,2019-09-26,23:00,43.84,0,370238,5268492,12,yes,
1,3A,4,P13a,Acc,2019-09-26,23:30,14.53,13.25,370209,5268505,12,yes,
1,3A,4,P13a,Acc,2019-09-27,0:00,30.98,12.32,370225,5268504,12,yes,
1,3A,4,P13a,Acc,2019-09-27,0:30,22.16,14.66,370216,5268507,12,yes,
1,3A,4,P13a,Acc,2019-09-27,1:00,47.26,58.38,370241,5268550,12,yes,
1,3A,4,P13a,Acc,2019-09-27,1:30,65,62,370259,5268554,12,yes,
1,3A,4,P13a,Acc,2019-09-27,2:00,65,56.85,370259,5268549,12,yes,
1,3A,4,P13a,Acc,2019-09-27,2:30,65,35.77,370259,5268528,12,yes,
1,3A,4,P13a,Acc,2019-09-27,3:00,65,25.35,370259,5268517,11,yes,
1,3A,4,P13a,Acc,2019-09-27,3:30,65,17.67,370259,5268510,11,yes,
1,3A,4,P13a,Acc,2019-09-27,4:00,61.2,9.82,370255,5268502,11,yes,
1,3A,4,P13a,Acc,2019-09-27,4:30,,,,,11,yes,out of frame
1,3A,4,P13a,Acc,2019-09-27,5:00,,,,,11,yes,out of frame
1,3A,4,P13a,Acc,2019-09-27,5:30,,,,,11,no,out of frame
1,3A,4,P13a,Acc,2019-09-27,6:00,,,,,11,no,out of frame
1,3A,4,P13a,Acc,2019-09-27,6:30,,,,,11,no,out of frame
1,3A,4,P13a,Acc,2019-09-27,7:00,,,,,12,no,out of frame
1,3A,4,P13a,Acc,2019-09-27,7:30,,,,,11,no,out of frame
1,3A,4,P13a,Acc,2019-09-27,8:00,,,,,11,no,out of frame
1,3A,4,P13a,Acc,2019-09-27,8:30,,,,,12,no,out of frame
