term,estimate,std.error,statistic,p.value
(Intercept),-2.39,0.29,-8.2,0
stageA,-1.27,0.24,-5.28,0
bricks 1,-0.41,0.42,-0.98,0.33
bricks 2,-0.06,0.39,-0.15,0.88
bricks 4,0.54,0.38,1.45,0.15
temperature,0.07,0.01,4.93,0
stageA:bricks 1,1.56,0.4,3.91,0
stageA:bricks 2,-0.11,0.41,-0.27,0.79
stageA:bricks 4,-1.15,0.44,-2.64,0.01
